Time,currencyservice,emailservice,recommendationservice,productcatalogservice,frontend,shippingservice,cartservice,checkoutservice,adservice,paymentservice,Total
2020-12-15 14:46:34,3.1020228671943713,3.2307692307692313,9.434413751538381,1.4136149184671751,111.45539576019709,2.19672131147541,7.131336405529955,158.33333333333337,2.8909090909090907,3.0,302.18851666941407
2020-12-15 14:46:35,3.1020228671943713,3.2307692307692313,9.434413751538381,1.4136149184671751,111.45539576019709,2.19672131147541,7.131336405529955,158.33333333333337,2.8909090909090907,3.0,302.18851666941407
2020-12-15 14:46:36,3.1020228671943713,3.2307692307692313,9.434413751538381,1.4136149184671751,111.45539576019709,2.19672131147541,7.131336405529955,158.33333333333337,2.8909090909090907,3.0,302.18851666941407
2020-12-15 14:46:37,3.1020228671943713,3.2307692307692313,9.434413751538381,1.4136149184671751,111.45539576019709,2.19672131147541,7.131336405529955,158.33333333333337,2.8909090909090907,3.0,302.18851666941407
2020-12-15 14:46:38,3.1020228671943713,3.2307692307692313,9.434413751538381,1.4136149184671751,105.12715020742428,2.19672131147541,7.131336405529955,158.33333333333337,2.8909090909090907,3.0,295.8602711166413
2020-12-15 14:46:39,3.1020228671943713,3.2307692307692313,9.434413751538381,1.4136149184671751,106.1655104955013,2.19672131147541,7.131336405529955,158.33333333333337,2.8909090909090907,3.0,296.89863140471834
2020-12-15 14:46:40,3.1020228671943713,3.2307692307692313,9.434413751538381,1.4136149184671751,106.1655104955013,2.19672131147541,7.131336405529955,158.33333333333337,2.361867704280156,3.0,296.3695900180893
2020-12-15 14:46:41,3.1020228671943713,3.2307692307692313,9.154882556449161,1.338842975206611,104.4592999320698,2.19672131147541,7.131336405529955,158.33333333333337,2.361867704280156,3.0,294.3090763163081
2020-12-15 14:46:42,3.1020228671943713,3.2307692307692313,9.154882556449161,1.338842975206611,104.4592999320698,2.19672131147541,7.131336405529955,158.33333333333337,2.361867704280156,3.0,294.3090763163081
2020-12-15 14:46:43,3.1020228671943713,3.2307692307692313,9.154882556449161,1.338842975206611,99.54930264100172,1.3333333333333337,7.131336405529955,158.33333333333337,2.361867704280156,2.636363636363636,288.1720546834615
2020-12-15 14:46:44,2.771289537712896,3.2307692307692313,9.154882556449161,1.338842975206611,99.54930264100172,1.3333333333333337,7.131336405529955,158.33333333333337,2.361867704280156,2.636363636363636,287.84132135398
2020-12-15 14:46:45,2.771289537712896,3.2307692307692313,9.154882556449161,1.338842975206611,99.54930264100172,1.3333333333333337,6.6628959276018085,158.33333333333337,2.361867704280156,2.636363636363636,287.37288087605185
2020-12-15 14:46:46,2.771289537712896,3.1379310344827585,8.939856138968056,1.338842975206611,84.16228237644471,1.3333333333333337,6.6628959276018085,158.33333333333337,2.361867704280156,2.636363636363636,271.6779959977273
2020-12-15 14:46:47,2.771289537712896,3.1379310344827585,8.939856138968056,1.338842975206611,84.16228237644471,1.3333333333333337,6.6628959276018085,158.33333333333337,2.361867704280156,2.636363636363636,271.6779959977273
2020-12-15 14:46:48,2.771289537712896,3.1379310344827585,8.939856138968056,1.184322033898305,84.16228237644471,1.3333333333333337,6.6628959276018085,158.33333333333337,2.361867704280156,2.636363636363636,271.523475056419
2020-12-15 14:46:49,2.771289537712896,3.1379310344827585,8.939856138968056,1.184322033898305,84.16228237644471,1.3333333333333337,6.6628959276018085,97.5,2.361867704280156,2.636363636363636,210.6901417230856
2020-12-15 14:46:50,2.771289537712896,3.1379310344827585,8.939856138968056,1.184322033898305,84.16228237644471,1.3333333333333337,6.6628959276018085,97.5,2.361867704280156,2.636363636363636,210.6901417230856
2020-12-15 14:46:51,2.771289537712896,3.1379310344827585,8.939856138968056,1.184322033898305,84.16228237644471,1.3333333333333337,6.6628959276018085,97.5,2.361867704280156,2.636363636363636,210.6901417230856
2020-12-15 14:46:52,2.771289537712896,3.1379310344827585,8.939856138968056,1.184322033898305,84.16228237644471,1.3333333333333337,6.6628959276018085,97.5,2.361867704280156,2.636363636363636,210.6901417230856
2020-12-15 14:46:53,2.771289537712896,3.1379310344827585,8.939856138968056,1.184322033898305,82.352782316749,1.3333333333333337,6.6628959276018085,97.5,2.361867704280156,2.636363636363636,208.8806416633899
2020-12-15 14:46:54,2.771289537712896,3.1379310344827585,8.939856138968056,1.184322033898305,77.79238871566962,1.3333333333333337,6.6628959276018085,97.5,2.361867704280156,2.636363636363636,204.32024806231053
2020-12-15 14:46:55,2.771289537712896,3.1379310344827585,8.939856138968056,1.184322033898305,77.79238871566962,1.3333333333333337,6.6628959276018085,97.5,2.1093117408906883,2.636363636363636,204.0676920989211
2020-12-15 14:46:56,2.771289537712896,3.1379310344827585,8.435374797556575,1.1542628748269537,78.19132545108992,1.3333333333333337,6.6628959276018085,97.5,2.1093117408906883,2.636363636363636,203.93208833385862
2020-12-15 14:46:57,2.771289537712896,3.1379310344827585,8.435374797556575,1.1542628748269537,78.19132545108992,1.3333333333333337,6.6628959276018085,97.5,2.1093117408906883,2.636363636363636,203.93208833385862
2020-12-15 14:46:58,2.771289537712896,3.1379310344827585,8.435374797556575,1.1542628748269537,74.21106900282045,1.8461538461538456,6.6628959276018085,97.5,2.1093117408906883,2.4285714285714293,200.2568601906174
2020-12-15 14:46:59,2.756906077348066,3.1379310344827585,8.435374797556575,1.1542628748269537,74.21106900282045,1.8461538461538456,6.6628959276018085,97.5,2.1093117408906883,2.4285714285714293,200.24247673025252
2020-12-15 14:47:00,2.756906077348066,3.1379310344827585,8.435374797556575,1.1542628748269537,74.21106900282045,1.8461538461538456,5.8988764044943816,97.5,2.1093117408906883,2.4285714285714293,199.47845720714508
2020-12-15 14:47:01,2.756906077348066,3.2352941176470584,8.099206198362815,1.1542628748269537,79.88918664120983,1.8461538461538456,5.8988764044943816,97.5,2.1093117408906883,2.4285714285714293,204.91776932950503
2020-12-15 14:47:02,2.756906077348066,3.2352941176470584,8.099206198362815,1.1542628748269537,79.88918664120983,1.8461538461538456,5.8988764044943816,97.5,2.1093117408906883,2.4285714285714293,204.91776932950503
2020-12-15 14:47:03,2.756906077348066,3.2352941176470584,8.099206198362815,1.1457416123800446,79.88918664120983,1.8461538461538456,5.8988764044943816,97.5,2.1093117408906883,2.4285714285714293,204.90924806705814
2020-12-15 14:47:04,2.756906077348066,3.2352941176470584,8.099206198362815,1.1457416123800446,79.88918664120983,1.8461538461538456,5.8988764044943816,95.83333333333331,2.1093117408906883,2.4285714285714293,203.24258140039151
2020-12-15 14:47:05,2.756906077348066,3.2352941176470584,8.099206198362815,1.1457416123800446,79.88918664120983,1.8461538461538456,5.8988764044943816,95.83333333333331,2.1093117408906883,2.4285714285714293,203.24258140039151
2020-12-15 14:47:06,2.756906077348066,3.2352941176470584,8.099206198362815,1.1457416123800446,79.88918664120983,1.8461538461538456,5.8988764044943816,95.83333333333331,2.1093117408906883,2.4285714285714293,203.24258140039151
2020-12-15 14:47:07,2.756906077348066,3.2352941176470584,8.099206198362815,1.1457416123800446,79.88918664120983,1.8461538461538456,5.8988764044943816,95.83333333333331,2.1093117408906883,2.4285714285714293,203.24258140039151
2020-12-15 14:47:08,2.756906077348066,3.2352941176470584,8.099206198362815,1.1457416123800446,81.01201960288839,1.8461538461538456,5.8988764044943816,95.83333333333331,2.1093117408906883,2.4285714285714293,204.36541436207006
2020-12-15 14:47:09,2.756906077348066,3.2352941176470584,8.099206198362815,1.1457416123800446,79.3598668792909,1.8461538461538456,5.8988764044943816,95.83333333333331,2.1093117408906883,2.4285714285714293,202.71326163847255
2020-12-15 14:47:10,2.756906077348066,3.2352941176470584,8.099206198362815,1.1457416123800446,79.3598668792909,1.8461538461538456,5.8988764044943816,95.83333333333331,2.286274509803922,2.4285714285714293,202.89022440738583
2020-12-15 14:47:11,2.756906077348066,3.2352941176470584,8.608950498817867,1.3024179443888986,79.59274307261785,1.8461538461538456,5.8988764044943816,95.83333333333331,2.286274509803922,2.4285714285714293,203.7895212331766
2020-12-15 14:47:12,2.756906077348066,3.2352941176470584,8.608950498817867,1.3024179443888986,79.59274307261785,1.8461538461538456,5.8988764044943816,95.83333333333331,2.286274509803922,2.4285714285714293,203.7895212331766
2020-12-15 14:47:13,2.756906077348066,3.2352941176470584,8.608950498817867,1.3024179443888986,81.88744651742195,1.9464285714285716,5.8988764044943816,95.83333333333331,2.286274509803922,3.3529411764705883,207.10886915115464
2020-12-15 14:47:14,2.850453172205438,3.2352941176470584,8.608950498817867,1.3024179443888986,81.88744651742195,1.9464285714285716,5.8988764044943816,95.83333333333331,2.286274509803922,3.3529411764705883,207.20241624601204
2020-12-15 14:47:15,2.850453172205438,3.2352941176470584,8.608950498817867,1.3024179443888986,81.88744651742195,1.9464285714285716,7.182971014492753,95.83333333333331,2.286274509803922,3.3529411764705883,208.4865108560104
2020-12-15 14:47:16,2.850453172205438,3.0,9.090884613125127,1.3024179443888986,86.42071041372873,1.9464285714285716,7.182971014492753,95.83333333333331,2.286274509803922,3.3529411764705883,213.26641474897733
2020-12-15 14:47:17,2.850453172205438,3.0,9.090884613125127,1.3024179443888986,86.42071041372873,1.9464285714285716,7.182971014492753,95.83333333333331,2.286274509803922,3.3529411764705883,213.26641474897733
2020-12-15 14:47:18,2.850453172205438,3.0,9.090884613125127,1.5344895426719778,86.42071041372873,1.9464285714285716,7.182971014492753,95.83333333333331,2.286274509803922,3.3529411764705883,213.49848634726044
2020-12-15 14:47:19,2.850453172205438,3.0,9.090884613125127,1.5344895426719778,86.42071041372873,1.9464285714285716,7.182971014492753,146.875,2.286274509803922,3.3529411764705883,264.5401530139272
2020-12-15 14:47:20,2.850453172205438,3.0,9.090884613125127,1.5344895426719778,86.42071041372873,1.9464285714285716,7.182971014492753,146.875,2.286274509803922,3.3529411764705883,264.5401530139272
2020-12-15 14:47:21,2.850453172205438,3.0,9.090884613125127,1.5344895426719778,86.42071041372873,1.9464285714285716,7.182971014492753,146.875,2.286274509803922,3.3529411764705883,264.5401530139272
2020-12-15 14:47:22,2.850453172205438,3.0,9.090884613125127,1.5344895426719778,86.42071041372873,1.9464285714285716,7.182971014492753,146.875,2.286274509803922,3.3529411764705883,264.5401530139272
2020-12-15 14:47:23,2.850453172205438,3.0,9.090884613125127,1.5344895426719778,88.8740774593125,1.9464285714285716,7.182971014492753,146.875,2.286274509803922,3.3529411764705883,266.9935200595109
2020-12-15 14:47:24,2.850453172205438,3.0,9.090884613125127,1.5344895426719778,93.22794985922684,1.9464285714285716,7.182971014492753,146.875,2.286274509803922,3.3529411764705883,271.34739245942524
2020-12-15 14:47:25,2.850453172205438,3.0,9.090884613125127,1.5344895426719778,93.22794985922684,1.9464285714285716,7.182971014492753,146.875,2.631578947368421,3.3529411764705883,271.69269689698973
2020-12-15 14:47:26,2.850453172205438,3.0,8.999986450249185,1.6407057401033565,93.41981210315909,1.9464285714285716,7.182971014492753,146.875,2.631578947368421,3.3529411764705883,271.89987717547746
2020-12-15 14:47:27,2.850453172205438,3.0,8.999986450249185,1.6407057401033565,93.41981210315909,1.9464285714285716,7.182971014492753,146.875,2.631578947368421,3.3529411764705883,271.89987717547746
2020-12-15 14:47:28,2.850453172205438,3.0,8.999986450249185,1.6407057401033565,93.6550850247997,1.8867924528301887,7.182971014492753,146.875,2.631578947368421,3.0,271.722572802049
2020-12-15 14:47:29,2.88791032826261,3.0,8.999986450249185,1.6407057401033565,93.6550850247997,1.8867924528301887,7.182971014492753,146.875,2.631578947368421,3.0,271.76002995810626
2020-12-15 14:47:30,2.88791032826261,3.0,8.999986450249185,1.6407057401033565,93.6550850247997,1.8867924528301887,6.419753086419753,146.875,2.631578947368421,3.0,270.99681203003325
2020-12-15 14:47:31,2.88791032826261,3.1739130434782608,9.098639455782315,1.6407057401033565,90.88684716518591,1.8867924528301887,6.419753086419753,146.875,2.631578947368421,3.0,268.5011402194308
2020-12-15 14:47:32,2.88791032826261,3.1739130434782608,9.098639455782315,1.6407057401033565,90.88684716518591,1.8867924528301887,6.419753086419753,146.875,2.631578947368421,3.0,268.5011402194308
2020-12-15 14:47:33,2.88791032826261,3.1739130434782608,9.098639455782315,1.6524795697625525,90.88684716518591,1.8867924528301887,6.419753086419753,146.875,2.631578947368421,3.0,268.51291404909
2020-12-15 14:47:34,2.88791032826261,3.1739130434782608,9.098639455782315,1.6524795697625525,90.88684716518591,1.8867924528301887,6.419753086419753,118.75000000000004,2.631578947368421,3.0,240.38791404909003
2020-12-15 14:47:35,2.88791032826261,3.1739130434782608,9.098639455782315,1.6524795697625525,90.88684716518591,1.8867924528301887,6.419753086419753,118.75000000000004,2.631578947368421,3.0,240.38791404909003
2020-12-15 14:47:36,2.88791032826261,3.1739130434782608,9.098639455782315,1.6524795697625525,90.88684716518591,1.8867924528301887,6.419753086419753,118.75000000000004,2.631578947368421,3.0,240.38791404909003
2020-12-15 14:47:37,2.88791032826261,3.1739130434782608,9.098639455782315,1.6524795697625525,90.88684716518591,1.8867924528301887,6.419753086419753,118.75000000000004,2.631578947368421,3.0,240.38791404909003
2020-12-15 14:47:38,2.88791032826261,3.1739130434782608,9.098639455782315,1.6524795697625525,89.69878018566419,1.8867924528301887,6.419753086419753,118.75000000000004,2.631578947368421,3.0,239.19984706956828
2020-12-15 14:47:39,2.88791032826261,3.1739130434782608,9.098639455782315,1.6524795697625525,89.65084327798712,1.8867924528301887,6.419753086419753,118.75000000000004,2.631578947368421,3.0,239.15191016189118
2020-12-15 14:47:40,2.88791032826261,3.1739130434782608,9.098639455782315,1.6524795697625525,89.65084327798712,1.8867924528301887,6.419753086419753,118.75000000000004,2.807407407407408,3.0,239.3277386219302
2020-12-15 14:47:41,2.88791032826261,3.1739130434782608,9.648148148148149,1.4704084420215486,90.13536551380358,1.8867924528301887,6.419753086419753,118.75000000000004,2.807407407407408,3.0,240.17969842237156
2020-12-15 14:47:42,2.88791032826261,3.1739130434782608,9.648148148148149,1.4704084420215486,90.13536551380358,1.8867924528301887,6.419753086419753,118.75000000000004,2.807407407407408,3.0,240.17969842237156
2020-12-15 14:47:43,2.88791032826261,3.1739130434782608,9.648148148148149,1.4704084420215486,95.11872695063472,1.5565217391304351,6.419753086419753,118.75000000000004,2.807407407407408,3.095238095238096,244.92802724074105
2020-12-15 14:47:44,3.306603773584905,3.1739130434782608,9.648148148148149,1.4704084420215486,95.11872695063472,1.5565217391304351,6.419753086419753,118.75000000000004,2.807407407407408,3.095238095238096,245.34672068606332
