Time,frontend,adservice,emailservice,cartservice,recommendationservice,paymentservice,currencyservice,productcatalogservice,shippingservice,redis-cart,checkoutservice,Total
2020-11-25 15:48:52,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:53,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:54,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:55,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:56,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:57,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:58,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:48:59,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:00,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:01,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:02,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:03,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:04,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:05,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:06,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:07,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:08,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:09,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:10,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:11,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:12,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:13,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:14,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:15,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:16,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:17,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:18,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:19,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:20,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:21,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:22,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:23,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:24,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:25,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:26,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:27,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:28,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:29,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:30,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:31,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:32,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:33,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:34,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:35,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:36,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:37,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:38,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:39,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:40,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:41,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:42,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:43,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
